report_id,serial,report_type,date_of_interaction,time_of_interaction,summary_lat,summary_long,summary_time,lat_deg,lat_min,long_deg,long_min,boat_type,boat_length,motoring_or_sailing,speed,rudder,autopilot,antifoul_colour,hull_topsides_colour,depth,distance_off_land,sea_state,wind_speed,darkness_or_daylight,cloud_cover,damaged,tow_required,length_of_interaction,behaviour_text_edited,response_text_edited,towing,depth_gauge,daystage,moon,tide,did_orcas_return,how_long_reversing,motion_on_return,number_of_adult_orcas_seen,number_of_juvenile_orcas_seen,number_of_uncertain_orcas_seen,orca_behaviour_before_during_reversing,orca_contact_with_boat,orca_hit_rudder,orca_hit_the_bow,reverse_before_contact,reversing_circle_orca_direction,reversing_did_orca_leave,reversing_method,successful_reversing_methods,trailing_fishing_lure
9287,54,incident,2022-08-11,13:00:00,43.83533333333333,-8.382166666666667,2022-08-11 13:00:00,43,50.1200,8,22.9300,Motor,12.5 - 15m,Sailing,5 - 7,Spade,On,Black,White/light,200m+,Over 10,Calm,3 - 4 (7 - 16 knots),Day,75 - 100%,"Yes, extensive - major works required",Yes,"Yes, followed protocol, interaction lasted more than 60 minutes","There was three of them. 1 smaller and 2 bigger. One bigger than the other. No grown up males, as far we could see. 

We experienced the attack as a surprise-attack. It took 3-5 sec from we first saw the fin, until the first hit on the rudder.  Then they behaved calm, changing in pushing the boat in circles. All three of them were active. 

When they came back, when we started the engine again, it was in a more aggressive tone. The pushing was harder.  Especially the biggest one, who was the most active at that point. In both attacks they were all circling around/ under and behind the stern close up to the boat.","There was heavy fog,50-100m visibility. All of a sudden our man overboard alarm went of, so we had an extra look around. Then we saw a fin heading our way. We tried as fast as we could, to turn of the autopilot. It took about 3-5 sek from we saw the fin until the rudder was hit really hard. We tried to motor astern for 10min, but the steering-arm was broken in the very first hit, so we had no steering. They kept hiting and pushing the boat from behind. We called a Pan Pan on the VHF and got in contact with the salvamento. They adviced us to turn of engin and all instruments, and so we did. The attac continiued for 30-40min, then they left. We checked the rudder and could'nt see any visible damage, so we arranged a emergency steering, started the engine and headed to A Coruña. After 5min motoring, we all of a sudden got another hit in the rudder. We turned everything off again and waited. They kept attacing the boat, mainly the rudder that now was turned into pieces floating in the sea, until the Salvamento came 30min later for towing us to a coruña. Then they kept pushing/biting the boat/rudder for another 10-15min after we were being towed. 

When they came back, they pushed so hard in the rudder that the hull bended in, and we were afraid, that if it gave in, the boat would quickly fill with water. We then prepared the life-raft. And had contact with the salvamento.",Not towing,On,daytime,waxing<br>100% illuminated<br>within 3 days of full,Within 3 days of spring tide,,,,,,,,,,,,,,,,
9325,56,incident,2022-08-24,19:00:00,36.1,-6.016666666666667,2022-08-24 19:00:00,36,6.0000,6,1.0000,Sail,Over 15m,Sailing,5 - 7,Full skeg,Off,Black,White/light,40 - 200m,2 - 5,Calm,0 - 2 (0 - 6 knots),Day,25 - 50%,"Yes, minor - will wait until the end of the season",No,"Yes, followed protocol, interaction lasted more than 60 minutes","Ya lo he puesto arriba.///
I have already described it","Eran mas o menos 8. Por la forma de la aleta, nos han parecido todas hembras con crias bastante grandes. mi hijo de 7 años y yo, despues varios golpes en el timon, empezamos a hablar con ellas diciendole que se quedaran tranquilas y que aqui tambien habia un niño. Al rato de hablarle, dejaron de golpear el timon pero siguieron buceando hacia el. Venian a vernos cerquita de la bañera antes de bucear. A veces jugaban haciendo volteretas alrededor de su eje longitudinal. En ningun momento nos hemos sentido atacados. Era un juego. Creo que habria que intentar ir marcha atras y hacer algun ruido que le perturbe para que se vayan puesto que son sensibles a los ultrasonidos. Llamamos Tarifa radio para avisar del ataque. Estabamos cerca de Barbate. nadie vino a ayudarnos. nos sentimos un poco abandonados. Creo que un barco de salvamento maritimo deberia salir para intentar limitar los daños, a lo mejor dando vueltas alrededor del velero.
Creo tambien que habria que poner un aviso a los navegantes: en este momento provocan mas daño las orcas que una boya suelta.///

There were more or less 8. Due to the shape of the fin, they all seemed to us to be females with quite large offspring. My 7-year-old son and I, after several blows to the rudder, started talking to them telling them to stay calm and that there was also a child here. After a while of talking to him, they stopped hitting the rudder but continued diving towards him. They came to see us near the cockpit before diving. Sometimes they played somersaults around their longitudinal axis. At no time have we felt attacked. It was a game. I think it would be necessary to try to go in reverse and make some noise that disturbs them to make them go away since they are sensitive to ultrasound. We called Tarifa radio to warn of the attack. We were close to Barbate. nobody came to help us. we feel a bit abandoned. I think a sea rescue ship should go out to try to limit the damage, maybe circling the sailboat.
I also think that it would be necessary to put a warning to the navigators: at this moment the killer whales cause more damage than a loose buoy.
I also believe that it would be necessary to put a warning to the sailors: at this moment they provoke more damage to the orcas than a loose buoy",Not towing,Off,daytime,waning<br>6% illuminated<br>within 3 days of new,Not within 3 days of springs,,,,,,,,,,,,,,,,
9304,55,incident,2022-08-28,12:30:00,37.5,-9.033333333333333,2022-08-28 12:30:00,37,30.0000,9,2.0000,Sail,Under 10m,Sailing,5 - 7,Spade,On,Blue,White/light,40 - 200m,Over 10,Calm,0 - 2 (0 - 6 knots),Day,0 - 25%,"Yes, moderate - immediate repairs required",No,"No, did not follow protocol, interaction lasted 30 to 60 minutes","Fizeram 3 investidas. Batiam com a cauda na agua antes de atacar.///
They made 3 attacks. They hit the water with their tails before attacking.","Foram 3 investidas. Penso que eram entre 5 e 7. De repente senti um movimento no leme e vi restos de esferovite na água. Depois percebi que era do leme. E apareceram então as orcas. Coloquei logo à ré. Fiz circulos porque nao queria agarrar no leme. Elas sairam e depois voltaram mais 2xs. Estava com a vela grande que só recolhi depois. A sorte é que estava muito pouco vento. Usei um pinguer que tinha pouco peso por isso estava muito à superfície. Demorou cerca de 40 minutos. ///
There were 3 attacks. I think it was between 5 and 7. Suddenly I felt a movement in the rudder and I saw bits of styrofoam in the water. Then I realized it was the rudder. And then the orcas appeared. I put it right back. I made circles because I didn't want to grab the rudder. They left and then came back 2 more times. I had the mainsail up that I only furled later. Luckily, there was very little wind. I used a pinger that was light weight so it was very much on the surface. It took about 40 minutes.",Not towing,On,daytime,waxing<br>1% illuminated<br>within 3 days of new,Within 3 days of spring tide,,,,,,,,,,,,,,,,
9337,57,incident,2022-04-28,08:30:00,36.03333333333333,-5.7,2022-04-28 08:30:00,36,2.0000,5,42.0000,Sail,12.5 - 15m,Motoring,8 - 11,Spade,Off,Black,White/light,20 - 40m,2 - 5,Calm,0 - 2 (0 - 6 knots),Day,,No,No,"No, did not follow protocol, interaction lasted less than 10 minutes",,"Les orques venaient de la même manière de toucher un autre catamaran ami qui naviguait 1/4 de MN devant nous. Nous naviguions en direction des îles Canaries. 
Prévenu par vhf, nous nous sommes mis en condition de les accueillir avec un minimum de dégâts espérés, selon les conditions décrites plus haut.
Elles sont arrivées nageant rapidement droit sur nous, ont plongé en arrivant sur nous, ont touché les coques « virilement » 2 fois chacune , pas les safrans. Étant à la barre, j’ai ressenti les chocs comme un déplacement latéral du catamaran. 
Nous les avons vues repartir vers l’Est, sans plus.

Nous avions réfléchi avec l’autre catamaran, au port, sur la conduite à tenir , au cas où…
3 monocoques accidentés à Barbate, nous ayant conté leur aventure avec les orques , nous avions retenu l’acharnement des orques sur les safrans jusqu’à rupture totale, une faible vitesse des voiliers, aucun n’était au moteur.
Nous pensions que si les orques nous prenaient pour des vedettes rapides ou des bateaux de pêche cela serait un atout différenciant.
Donc il fallait :
- émettre un son puissant, des vibrations dans l’eau,
- avoir une vitesse suffisante pour faire illusion.
- ne pas laisser traîner d’appendices fragiles dans l’eau : hydrogenerateur, dérives, pilote connecté …
Cela est impressionnant de savoir qu’elles se dirigent vers vous,
Impressionnant de les voir nager si vite et « straight on »,
De voir l’animal de si près, juste avant les chocs…///

The killer whales came in the same way to hit another friendly catamaran which was sailing 1/4 NM in front of us. We were sailing towards the Canary Islands.
Informed by vhf, we put ourselves in the condition to welcome them with a minimum of expected damage, according to the conditions described above.
They arrived swimming quickly straight at us, dived on arriving at us, touched the hulls violently twice each, not the rudders. Being at the helm, I felt the shocks as the catamaran moved sideways.
We saw them go back east, nothing more.
We had discussed with the other catamaran, at the port, about what to do, just in case...
3 monohulls damaged in Barbate, having told us about their adventure with the orcas, we had realised the focus of the orcas on the rudders until total failure, and the low speed of the sailboats, none were under motor.
We thought that if the killer whales took us for speedboats or fishing boats that would be a differentiating situation.
So it was necessary:
- emit a powerful sound, vibrations in the water,
- have sufficient speed to create an illusion.
- do not leave fragile appendages lying around in the water: hydrogenerator, daggerboards, connected autopilot, etc.
Hence the idea of ​​going at 8 knots, to satisfy these 3 conditions.

It is impressive to know that they are heading towards you,
Impressive to see them swimming so fast and ""straight on"",
To see the animal so close, just before the shocks...",Not towing,,daytime,waning<br>6% illuminated<br>within 3 days of new,Not within 3 days of springs,,,,,,,,,,,,,,,,
9385,58,incident,2022-09-19,12:00:00,43.36018333333333,-8.68575,2022-09-19 12:00:00,43,21.6110,8,41.1450,Sail,12.5 - 15m,Motorsailing,5 - 7,Spade,On,Black,White/light,40 - 200m,2 - 5,Moderate,3 - 4 (7 - 16 knots),Day,0 - 25%,"Yes, extensive - major works required",Yes,"Yes, followed protocol, interaction lasted 10 to 30 minutes","They went in for the rudder really hard. Multiple times. They where circling around the boat and attacked again and again. They did not go far during the attack, we could see all the time. They were jumping around and we’re really close to the back of the boat the whole time.","We sailed close to land, together with two other boats. We tried to take a route with shallow water. The orcas first attacked another yacht and they called us. We were 500m away from them and started to head towards land. A few minutes later the orcas attacked us as well. One orca went direct for the rudder, but did not manage to break it. Then it was quiet for some minutes. We started to go backwards and take our sails down. (Still towards land). Then after less then 5 minutes the orcas were back, and it was several 5 at least. As recommended we stopped the engine and shut off everything. Then the orcas really started to attack. They broke off our steering and we had no control over the rudder anymore. This attack lasted for at least 20 minutes. We started to go backwards after 10 minutes and went in circles. This seemed to make them attack less. After more then 20 minutes they went off and the rescue boat called to pick us up since we were the closest to land and shallow water. After us the orcas attacked 2 more sailing vessels.",Not towing,On,daytime,waning<br>35% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,,,
9388,59,incident,2022-09-17,13:49:00,42.71666666666667,-9.15,2022-09-17 13:49:00,42,43.0000,9,9.0000,Sail,10 - 12.5m,Motoring,5 - 7,Full skeg,Off,White,White/light,40 - 200m,5 - 10,Calm,3 - 4 (7 - 16 knots),Day,0 - 25%,"Yes, extensive - major works required",Yes,"Yes, followed protocol, interaction lasted 10 to 30 minutes","They were moving slowly round the boat pushing it, playing mainly with the rudder all the time, they did not show aggressive behaviour, in fact we could make many photos and videos as they were taking their time with the boat.","We saw two orcas passing by 200m from the boat swimming towards north (direction Finisterre Cape), we advised Finisterre Radio using Channel 16 and gave our position (42, 43'N, 9, 12W) to them stating that we saw them. We continued navigating south....10 minutes after we saw the two orcas coming from the south straight to our boat. 
We stopped the motor as per the protocol and waited for them to interact as we did not have any option. They came slowly from both sides of the boat and started to move the rudder very strongly for almost 30 minutes.  
As soon as they started interaction with the boat we called again Finisterre Radio and asked for help, as we knew they would not stop until braking the rudder.
They pushed the boat several times from one side making it rotate almost 360 degrees on the surface, then they pushed the boat again from the stern
They just stopped to interact when the major piece of the rudder was broken; they played a bit with it on the surface and then they left.
We tried to navigate with the remaining piece of the rudder but it was not possible. Then the towing boat arrived and they took us to the port of Muros. to check the damages in detail.",Not towing,On,daytime,waning<br>53% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,,,
9391,60,incident,2022-09-19,14:30:00,43.3815,-8.599266666666667,2022-09-19 14:30:00,43,22.89,8,35.956,Sail,10 - 12.5m,Sailing,5 - 7,Full skeg,On,Blue,,40 - 200m,2 - 5,Moderate,3 - 4 (7 - 16 knots),Day,0 - 25%,"Yes, extensive - major works required",Yes,"Yes, followed protocol, interaction lasted 30 to 60 minutes","The orcas followed the boat, dived under it and pushed hard against the ruder. This lasted for more than 30 minutes.","5 or 6 orca's followed us and attacked the ruder. We lowered the sails and made contact with 112 and asked for advise. They told is that we could do nothing, but we could try to move astern. We started the engine and tried to move backwards. Orca's still attacked us. We did this for about 15 minutes. At some point, the ruder did not work anymore; later we saw that it was damaged badly. Water started to poor into the boat. 
Meanwhile we had called for help. 'salvation- boat' came after 20 minutes. they inspected the boat and called for another ship to tow is to A Coruña. That took another 20 minutes, but during that time a fishing boat was stand-by, if we needed any help.",Not towing,On,daytime,waning<br>34% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,,,
9435,64,incident,2022-09-22,14:30:00,40.06166666666667,-9.278333333333332,2022-09-22 14:30:00,40,3.7000,9,16.7000,Sail,10 - 12.5m,Motorsailing,5 - 7,Spade,On,Blue,White/light,40 - 200m,Over 10,Calm,3 - 4 (7 - 16 knots),Day,0 - 25%,"Yes, minor - will wait until the end of the season",No,"Yes, followed protocol, interaction lasted less than 10 minutes","Orcas seemed very calm and we did not feel they were aggressive in their movements. They were very close together underneath and beside the boat, rubbing against each other, especially the calf. No jumping or spy hopping was seen","5 to 7 orcas came very quickly and directly to the boat from 200m away, when we first noticed them.  They swam underneath without hitting the boat for 20-30 seconds, while we were losing way and preparing to reverse. First big hit to the rudder immediately afterwards, then pushed the boat around in 2 complete circles while propeller was in reverse. We started to gain way in reverse, then were hit again hard on the rudder. We then defended ourselves with loud noises and the orcas immediately left the boat, staying 100m astern for 2-3 minutes. We made another noise and they left and were not seen again. We continued motoring astern slowly for 30 minutes while we checked for damage, then made maximum speed to port in case of developing problems.",Not towing,On,daytime,waning<br>11% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,,,
9394,61,incident,2022-09-17,17:00:00,43.8685,-8.047,2022-09-17 17:00:00,43,52.1100,8,2.8200,Sail,12.5 - 15m,Sailing,5 - 7,Twin rudder,On,White,Dark colour,40 - 200m,5 - 10,Rough,5 - 6 (17 - 27 knots),Day,25 - 50%,"Yes, moderate - immediate repairs required",No,"No, did not follow protocol, interaction lasted less than 10 minutes","The killer whales hit the direct boat without prior interaction, they were deliberately trying to break, they attack the mobile and fragile parts of the boat, it's targeted, for us there was no play on their part. The blows given all took place on the windward and seaward side.","We were downwind 120° to the wind, 2 reefs + staysail, 4 to 5 meter waves, 30 knots of wind. Speed ​​7 knots. The first hit took place on the rudder, just then we saw 2 killer whales; a large one about 8 meters and a smaller one. We then stopped the autopilot, took the helm and kept the rudders straight so that they had the least grip. at least 4 blows on the rudders the rudders are resistant (aluminium) they plunged under the boat, a first blow on the hull then 2 blows on the wind vane rudder (weighted rudder) that we did not have time to get up the wind vane rudder was torn off (epoxy plywood) we started the engine and just afterwards they left. We don't really know if it was starting the engine or the fin breaking that caused them to go, but we think they only go when something break.
we were able to reach la coruña with an operational rudder
 This all happened in 5 minutes.",Not towing,On,daytime,waning<br>52% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,,,
9399,62,incident,2022-09-16,10:10:00,41.98566666666667,-9.154333333333334,2022-09-16 10:10:00,41,59.1400,9,9.2600,Sail,Over 15m,Motoring,5 - 7,Spade,On,Green,White/light,40 - 200m,Over 10,Calm,0 - 2 (0 - 6 knots),Day,0 - 25%,"Yes, moderate - immediate repairs required",No,"Yes, followed protocol, interaction lasted less than 10 minutes",Calm and in action aggressive,"We have no sighting, suddenly a heavy bang at the middle of the boat happens. Then a single female Orca swims behind the boat, the orca was calm, it looks like she checked the rudder. Then she bite in the rudder and get in really action. This behavior happens three times. About after 7 to 10 Minutes the Orca left slowly at starbordside.",Not towing,On,daytime,waning<br>64% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,,,
9425,63,incident,2022-08-06,14:10:00,42.833333333333336,-9.228333333333333,2022-08-06 14:10:00,42,50.0000,9,13.7000,Sail,10 - 12.5m,Motorsailing,5 - 7,Spade,Off,Black,White/light,40 - 200m,2 - 5,Calm,0 - 2 (0 - 6 knots),Day,,"Yes, moderate - immediate repairs required",Yes,"Yes, followed protocol, interaction lasted 10 to 30 minutes","There were two orcas that were not detected before they touched the rudder. They hit the rudder until they broke it and also hit the ""orza"" (Spanish for centreboard). The interaction lasted 10 minutes.
The crew were not fishing.","This report is from an interview by GTOA.

The crew did not see the orcas before the interaction. They first noticed something putting pressure on the rudder and looked back to see two orcas. 
They then turned off the engine and dropped the mainsail and turned off all electronics except the radio.
They broke the rudder which floated on the water.
A tow into port was required.


•	How did you act during the interaction? (engine/sail/equipment): When they noticed that something was putting pressure on the rudder they looked aft and saw them. They then turned off the engine, removed the mainsail, and turned off all electronics except the radio. 
•	Apparent damage, repair required, ship towed: The ship was towed by the SALVAMAR ALTAIR, auxiliary of the ship DON INDA to the port of Finisterre, where on August 9, it continues to wait to get the ship out of the water and better assess the damage. They broke the rudder blade, which was left floating in the water near the ship.
•	Number and behavior of the observed killer whales, did they detect them before the interaction?  They were two killer whales, which they did not detect before the interaction, only when they noticed the first blows. They hit the rudder until they broke the shovel and also hit the orza (centreboard).
•	Was he fishing with a line at the stern?  I wasn't fishing",Not towing,On,daytime,waxing<br>63% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,,,
9442,66,incident,2022-08-25,06:00:00,43.0438,-9.375083333333333,2022-08-25 06:00:00,43,2.6280,9,22.5050,Sail,10 - 12.5m,Motoring,5 - 7,Spade,On,Blue,White/light,40 - 200m,2 - 5,Calm,0 - 2 (0 - 6 knots),Night,0 - 25%,"Yes, extensive - major works required",No,"No, did not follow protocol, interaction lasted 30 to 60 minutes","There were two orcas, which were not detected before the interaction, because it was dark. Their behaviour was interpreted by the crew as a hunting behaviour. There was one orca on each side of the boat and they took turns to hit it.","From a report obtained by GTOA:

When we felt the first hit, we knew they were orcas, but we didn’t know how to react, so we decided to continue motoring as before. For the first 20 or 25 minutes we continued moving and changed the direction, moving backward and drawing a sort of circle, but it didn’t work, they didn’t stop. 

At the beginning, the orcas started hitting the back (submerged) part of the boat, basically the rudder, but then they hit the hull and the keel. Since the orcas didn’t stop, we called “Salvamento marítimo”, they advised us to stop boat and engine and so we did. Despite of it the orcas didn’t stop and they even intensified the lunges for another 20 or 25 minutes. The interaction lasted 50 minutes in total.

We were able to continue to Vigo, were the boat is now being repaired. They caused damage to the rudder, hull and some parts of the rudder gear.

The crew were not fishing with a line from the stern.",Not towing,On,daytime,waning<br>4% illuminated<br>within 3 days of new,Not within 3 days of springs,,,,,,,,,,,,,,,,
9441,65,incident,2022-08-22,07:15:00,42.833333333333336,-9.466666666666667,2022-08-22 07:15:00,42,50.0000,9,28.0000,Sail,10 - 12.5m,Sailing,5 - 7,Spade,Off,Black,White/light,40 - 200m,5 - 10,Moderate,3 - 4 (7 - 16 knots),Day,25 - 50%,"Yes, moderate - immediate repairs required",Yes,"Yes, followed protocol, interaction lasted 30 to 60 minutes",,"From a report obtained by GTOA:

The crew were sailing at 5 knots when around 10 orcas (large, medium and small) arrived. They lowered the sail with the orcas bumping and shoving the boat. The rudder creaked as though it was been bitten and around 2/3 of the rudder was lost.

A tow was required.
They were not trailing a fishing lure.",Not towing,Off,daytime,waning<br>22% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,,,
9444,68,incident,2022-08-21,06:45:00,43.19551666666667,-9.20955,2022-08-21 06:45:00,43,11.7310,9,12.5730,Sail,Over 15m,Motoring,5 - 7,Spade,On,Black,Dark colour,1,0 - 2,Calm,0 - 2 (0 - 6 knots),Dawn,25 - 50%,"Yes, moderate - immediate repairs required",No,"Yes, followed protocol, interaction lasted 30 to 60 minutes",,"De un informe obtenido por GTOA/MITECO - From a report obtained by GTOA/MITECO:

Llegó una orca primero y luego 4 más y luego otra más, en total fueron 6 orcas. Dos pequeñas del tamaño de un delfín (iban siempre juntas). Estuvieron 3-4 minutos golpeando, se iban turnando y coordinando. Les dieron la vuelta. Parecía que estaban mordiendo la pala. Golpeaban el casco también, por todos lados. 
Apagaron motor y piloto automático, pero el resto de la electrónica seguía funcionando, porque les seguían de Salvamar por AIS. No bajaron la vela, pero no había viento.
Se apagaron las luces de posición del casco y a los 30 segundos las orcas se fueron. 

Google Translate:
An orca arrived first and then 4 more and then another one, in total there were 6 orcas. Two small ones the size of a dolphin (they always went together).  They spent 3-4 minutes hitting, taking turns and coordinating. They turned them around. It looked like they were biting the rudder. They hit the hull too, all over the place. 
They turned off engine and autopilot, but the rest of the electronics were still working, because they were followed by Salvamar by AIS. They didn't lower the sail, but there was no wind.
The hull position lights went out and within 30 seconds the killer whales left.",Not towing,On,daytime,waning<br>30% illuminated,Not within 3 days of springs,,,,,,,,,,,,,,,,
9443,67,incident,2022-08-14,16:15:00,43.38333333333333,-8.816666666666666,2022-08-14 16:15:00,43,23.0000,8,49.0000,Sail,10 - 12.5m,Sailing,5 - 7,Spade,Off,Black,White/light,40 - 200m,2 - 5,Rough,5 - 6 (17 - 27 knots),Day,25 - 50%,"Yes, moderate - immediate repairs required",No,"Yes, followed protocol, interaction lasted more than 60 minutes","5 orcas, dos de 2-3 metros, una pequeña de 1 metro aproximadamente y una más grande de unos 7 metros, mordían la pala y empujaban la embarcación por la pala. Hacían burbujas grandes, golpeaban la superficie del mar con la cola, y mostraban la parte ventral del cuerpo al sumergirse.

5 orcas, two of 2-3 meters, a small one of approximately 1 meter and a larger one of about 7 meters, bit the rudder blade and pushed the boat by the rudder. They made large bubbles, hit the sea surface with their tails, and showed the ventral part of the body when submerged.","From a report obtained by GTOA and MITECO:

Declaración del patrón enviada por e-mail:
“El pasado día 14 de agosto de 2022 navegábamos a vela, procedentes de Finisterre en demanda de La Coruña. Se encontraban a bordo 5 personas adultas incluido el patrón. A las 16:15 horas, a unas dos millas al nordeste de las Islas Sisargas hemos sufrido un ataque de orcas. Comenzó con el avistamiento de un ejemplar de unos dos o tres metros, que muy pronto empezó a golpear el casco del barco. Realizamos una primera llamada por radio a Salvamento Marítimo, exponiendo la situación e indicando que, de momento, no necesitábamos asistencia. Esta orca solitaria pareció perder interés en nosotros e intentamos abrir velas para apartarnos de ella. En seguida volvió a la carga y esta vez acompañada de otros dos ejemplares, una de tamaño similar, unos 3 metros,  con una cria más pequeña. Llamamos a Salvamento de nuevo y nos comunicaron que enviaban asistencia inmediata desde La Coruña. Nos encontrábamos en ese momento a unas 20 millas de dicho puerto. Nos tocaba esperar una hora y media.
	 
Las orcas empezaron a dar vueltas al barco y a golpear la pala del timón. A continuación aparecieron otros dos ejemplares. Uno de ellos más grande que los demás, de unos 7/8 metros. (Intento ser objetivo con los tamaños. En esa situación parecían medir mucho mas) que también golpeaban y mordían el timón. La grande era capaz de voltear el barco como si de una peonza se tratase. Empezaron a salir a la superficie trozos de espuma y fibra de lo que suponíamos era parte del timón. A bordo la tripulación, con chalecos y bolsa de emergencia preparada, esperábamos con mucha impaciencia la llegada de la salvamar. Nuestra mayor preocupación era que en uno de los golpes abrieran una vía de agua. En todo momento todos los tripulantes estuvieron serenos y tranquilos, haciendo caso a las indicaciones del patrón y con un comportamiento ejemplar, dada la situación y la poca experiencia en el mar de alguno de ellos.
Tras una hora recibiendo los ataques, un trozo grande del timón, de aproximadamente 60 cms., salió a la superficie. Una de las orcas se puso a olisquear lo y a “jugar” con el unos minutos para sumergirse a continuación. Pensamos que ahí terminaba todo, que al romper por fin el timón habían conseguido su objetivo y se marcharían. Sin embargo continuaron con el mismo comportamiento. 
Por fin apareció la salvamar Betelgeuse. Dieron un par de pasadas con un par de acelerones y las orcas desaparecieron. 
Nos preguntan si estamos todos bien, a lo que contesto afirmativamente, y que si teníamos gobierno o necesitábamos remolque. Arranco máquina y el barco parece responder al timón por lo que ponemos rumbo a La Coruña acompañados por la Salvamar que se ofrece a escoltarnos. Pasados unos minutos y con la Salvamar a unos 200 metros de nosotros dos orcas aparecen por nuestra popa y nos golpean de nuevo. La Salvamar se acerca inmediatamente y vuelven a desaparecer. El patrón de la misma se sorprende de la intensidad de el golpe, del que son testigos.
Sin mas sobresaltos y escoltados muy de cerca por la Salvamar llegamos al Real Club Náutico de La Coruña, donde amarramos el mismo día 14 a las 19:15.”


Google Translation:
Statement of owner made by e-mail:
""On August 14, 2022 we sailed sailing, coming from Finisterre in demand of La Coruña. There were 5 adults on board including the skipper. At 4:15 p.m., about two miles northeast of the Sisargas Islands, we suffered an attack by killer whales. It began with the sighting of a specimen of about two or three meters, which very soon began to hit the hull of the ship. We made a first radio call to Salvamento Marítimo, exposing the situation and indicating that, at the moment, we did not need assistance. This lonely orca seemed to lose interest in us and we tried to set sails to get away from it. She then returned to the load and this time accompanied by two other specimens, one of similar size, about 3 meters, with a smaller calf. We called Salvamento again and they told us that they were sending immediate assistance from La Coruña. We were at that time about 20 miles from that port. We had to wait an hour and a half.
	 
The orcas began to circle the ship and hit the rudder lade. Two other specimens followed. One of them larger than the others, about 7/8 meters. (I try to be objective with sizes. In that situation they seemed to measure much more) who also hit and bit the rudder. The big one was able to turn the ship round like a spinning top. Pieces of foam and fiber began to surface from what we assumed was part of the rudder. On board the crew, with vests and emergency bag prepared, we waited very impatiently for the arrival of the salvamar. Our biggest concern was that in one of the blows they would open a waterway. At all times all the crew were serene and calm, heeding the indications of the skipper and with an exemplary behavior, given the situation and the little experience at sea of some of them.
After an hour of receiving the attacks, a large piece of the rudder, approximately 60 cms., came to the surface. One of the orcas began to sniff it and ""play"" with it for a few minutes to dive in next. We thought that it all ended there, that when they finally broke the rudder they had achieved their goal and would leave. However, they continued with the same behavior. 
At last the salvamar Betelgeuse appeared. They gave a couple of passes with a couple of accelerations and the orcas disappeared. 
They ask us if we are all okay, to which I answer in the affirmative, and if we had steering or needed towing. I start the engine and the boat seems to respond to the helm so we head to La Coruña accompanied by the Salvamar that offers to escort us. After a few minutes and with the Salvamar about 200 meters from us two orcas appear by our stern and hit us again. The Salvamar immediately approaches and they disappear again. The pattern of it is surprised by the intensity of the blow, which they witness.
Without further shocks and escorted very closely by the Salvamar we arrived at the Real Club Náutico de La Coruña, where we moored on the same day 14 at 19:15.""",Not towing,On,daytime,waning<br>91% illuminated<br>within 3 days of full,Within 3 days of spring tide,,,,,,,,,,,,,,,,
9449,71,incident,2022-09-25,11:00:00,38.365,-9.181666666666667,2022-09-25 11:00:00,38,21.9000,9,10.9000,Sail,10 - 12.5m,Motoring,5 - 7,Spade,On,Black,Dark colour,40 - 200m,2 - 5,Moderate,3 - 4 (7 - 16 knots),Day,0 - 25%,"Yes, moderate - immediate repairs required",No,"Yes, followed protocol, interaction lasted 10 to 30 minutes","One holding the rudder, even turning the boat at times, and the other swimming calmly around the boat. At some point one dived under the boat and made a lot of bubbles.","Big blow, I turned off autopilot and put engine in reserve. They continued the attack, but after a few minutes I turned off the engine. The attacks continued but more ""gentle"". After 15 min they dived deep and disappeared.",Not towing,On,daytime,waning<br>0% illuminated<br>within 3 days of new,Within 3 days of spring tide,,,,,,,,,,,,,,,,
